umbral,porcentaje,densidad,n_componentes,clustering,modularity,n_aristas
0.36,0.5,0.39285714285714285,2,0.7045795720324428,0.2204111825323946,792
0.37,0.5,0.37896825396825395,2,0.6961506946640952,0.22721844932978807,764
0.38,0.5,0.36507936507936506,2,0.693672468607165,0.23147577238894138,736
0.39,0.5,0.35367063492063494,2,0.6878680455108751,0.22567760819404795,713
0.4,0.5,0.34226190476190477,2,0.6834454068648684,0.22858538122243227,690
0.41,0.5,0.32936507936507936,2,0.6743883998429404,0.23799263318333583,664
0.42,0.5,0.32043650793650796,2,0.6607015821250156,0.2518175675028036,646
0.43,0.5,0.30654761904761907,2,0.6515815850997064,0.26118416229406893,618
0.44,0.5,0.29464285714285715,2,0.6547767746104698,0.2671949574306476,594
0.45,0.5,0.28273809523809523,3,0.6378824841456535,0.2710433979686057,570
0.46,0.5,0.26884920634920634,3,0.623541764579191,0.27918499203442215,542
0.47,0.5,0.25793650793650796,3,0.6069873314900158,0.27048631656804734,520
0.48,0.5,0.24801587301587302,3,0.5875303225622757,0.28174200000000005,500
0.49,0.5,0.2371031746031746,5,0.5704584503663838,0.2822867246721871,478
0.5,0.5,0.22668650793650794,5,0.5751419559836006,0.28241217338842894,457
0.51,0.5,0.2177579365079365,5,0.5758740087214015,0.3074989233140135,439
0.52,0.5,0.2078373015873016,6,0.5694232385640002,0.31494751112149055,419
0.53,0.5,0.19940476190476192,6,0.5483890436828879,0.3151871240810871,402
0.54,0.5,0.19444444444444445,7,0.5512916340111707,0.3204686849229488,392
0.55,0.5,0.18700396825396826,7,0.5420744949912844,0.3331410197778075,377
0.56,0.5,0.18204365079365079,7,0.539285765321308,0.3396825278976011,367
0.57,0.5,0.17212301587301587,7,0.5311872568613466,0.34988663638100137,347
0.58,0.5,0.16319444444444445,7,0.5196631195494392,0.34944706719265345,329
0.59,0.5,0.15674603174603174,8,0.4980739038921605,0.3443308364044224,316
0.6,0.5,0.1488095238095238,8,0.5118473943067596,0.38631666666666664,300
0.61,0.5,0.14285714285714285,8,0.4891332385418589,0.37309510030864196,288
0.62,0.5,0.13640873015873015,9,0.45825140483978527,0.38418512396694215,275
0.63,0.5,0.12797619047619047,13,0.4335067245598399,0.38389369629229014,258
0.64,0.5,0.12103174603174603,13,0.4324595951434187,0.3976501612469766,244
0.65,0.5,0.11805555555555555,13,0.434547871450445,0.4072805592825366,238
0.66,0.5,0.11160714285714286,14,0.430643791971917,0.41075555555555554,225
0.67,0.5,0.10317460317460317,15,0.42647396006771005,0.42026858357988167,208
0.68,0.5,0.09375,16,0.4043629981129981,0.4051958231852411,189
0.69,0.5,0.08680555555555555,16,0.37460204725829727,0.4559836734693878,175
0.7,0.5,0.0818452380952381,18,0.38312702922077924,0.4195224977043158,165
0.71,0.5,0.07936507936507936,18,0.38887085137085137,0.46849609375,160
0.72,0.5,0.07291666666666667,18,0.3725198412698413,0.4672358739414133,147
0.73,0.5,0.06994047619047619,19,0.3650545634920635,0.46315577687239073,141
0.74,0.5,0.06746031746031746,20,0.37154017857142857,0.4643436418685121,136
0.75,0.5,0.06349206349206349,21,0.34641617063492064,0.462493896484375,128
0.76,0.5,0.05952380952380952,22,0.33619791666666665,0.4672569444444445,120
0.77,0.5,0.05555555555555555,22,0.288702876984127,0.473373724489796,112
0.78,0.5,0.05009920634920635,23,0.2720982142857143,0.48333496716008234,101
0.79,0.5,0.046130952380952384,23,0.23950892857142858,0.49092380622037224,93
0.8,0.5,0.043154761904761904,24,0.23154761904761906,0.5112300171753204,87
0.01,0.6,1.0,1,1.0,0.0,2016
0.02,0.6,1.0,1,1.0,0.0,2016
